didok;stationsbezeichnung;datum;feiertag;wochentag;national;servicetyp;servicename;closed;von1;bis1;von2;bis2;von3;bis3;unternehmung;key;bpuic
4184;Courtepin;29.05.2023;Pfingstmontag;Monday;ja;1900;Drittverkauf;;08:00;12:30;;;;;TPF;4184-2023-05-29T00:00:00-1900;8504184
4221;Neuchâtel;18.09.2023;Bettagsmontag;Monday;ja;1100;Western Union;;08:00;19:00;;;;;CFF;4221-2023-09-18T00:00:00-1100;8504221
4221;Neuchâtel;17.09.2023;Eidg. Dank-, Buss- und Bettag;Sunday;ja;9999;Alle Services;;08:00;19:00;;;;;CFF;4221-2023-09-17T00:00:00-9999;8504221
4221;Neuchâtel;01.08.2023;Bundesfeiertag;Tuesday;ja;2130;Gepäckausgabe;;08:00;19:00;;;;;CFF;4221-2023-08-01T00:00:00-2130;8504221
4221;Neuchâtel;29.05.2023;Pfingstmontag;Monday;ja;2130;Gepäckausgabe;;08:00;19:00;;;;;CFF;4221-2023-05-29T00:00:00-2130;8504221
4221;Neuchâtel;18.05.2023;Auffahrt;Thursday;ja;900;Fundservice;;08:00;19:00;;;;;CFF;4221-2023-05-18T00:00:00-900;8504221
4221;Neuchâtel;18.05.2023;Auffahrt;Thursday;ja;2130;Gepäckausgabe;;08:00;19:00;;;;;CFF;4221-2023-05-18T00:00:00-2130;8504221
4221;Neuchâtel;10.04.2023;Ostermontag;Monday;ja;100;Billette, Abonnemente, Freizeitangebote;;08:00;19:00;;;;;CFF;4221-2023-04-10T00:00:00-100;8504221
4221;Neuchâtel;10.04.2023;Ostermontag;Monday;ja;1000;Geldwechsel;;08:00;19:00;;;;;CFF;4221-2023-04-10T00:00:00-1000;8504221
4221;Neuchâtel;09.04.2023;Ostern;Sunday;ja;1100;Western Union;;08:00;19:00;;;;;CFF;4221-2023-04-09T00:00:00-1100;8504221
4221;Neuchâtel;09.04.2023;Ostern;Sunday;ja;2139;Aufgabezeiten Fluggepäck nach Zürich Flughafen;;08:00;18:00;;;;;CFF;4221-2023-04-09T00:00:00-2139;8504221
4221;Neuchâtel;07.04.2023;Karfreitag;Friday;ja;2139;Aufgabezeiten Fluggepäck nach Zürich Flughafen;;08:00;18:00;;;;;CFF;4221-2023-04-07T00:00:00-2139;8504221
4300;Biel/Bienne;10.04.2023;Ostermontag;Monday;ja;500;Gepäck;;09:00;18:00;;;;;SBB;4300-2023-04-10T00:00:00-500;8504300
4314;La Chaux-de-Fonds;18.09.2023;Bettagsmontag;Monday;ja;9999;Alle Services;;08:00;12:00;13:00;17:00;;;CFF;4314-2023-09-18T00:00:00-9999;8504314
4314;La Chaux-de-Fonds;09.04.2023;Ostern;Sunday;ja;9999;Alle Services;;08:00;12:00;13:00;17:00;;;CFF;4314-2023-04-09T00:00:00-9999;8504314
4332;Palézieux TPF;18.09.2023;Bettagsmontag;Monday;ja;9999;Alle Services;ja;;;;;;;TPF;4332-2023-09-18T00:00:00-9999;8504332
4332;Palézieux TPF;01.08.2023;Bundesfeiertag;Tuesday;ja;9999;Alle Services;ja;;;;;;;TPF;4332-2023-08-01T00:00:00-9999;8504332
4332;Palézieux TPF;29.05.2023;Pfingstmontag;Monday;ja;9999;Alle Services;ja;;;;;;;TPF;4332-2023-05-29T00:00:00-9999;8504332
4881;Fribourg, gare (TPF);15.08.2023;Maria Himmelfahrt;Tuesday;ja;2102;Reisebüro KTU;ja;;;;;;;TPF;4881-2023-08-15T00:00:00-2102;8504881
4881;Fribourg, gare (TPF);08.06.2023;Fronleichnam;Thursday;ja;2102;Reisebüro KTU;ja;;;;;;;TPF;4881-2023-06-08T00:00:00-2102;8504881
4881;Fribourg, gare (TPF);07.04.2023;Karfreitag;Friday;ja;2102;Reisebüro KTU;ja;;;;;;;TPF;4881-2023-04-07T00:00:00-2102;8504881
5000;Luzern;01.08.2023;Bundesfeiertag;Tuesday;ja;1200;Gruppenreisen;;07:00;20:00;;;;;SBB;5000-2023-08-01T00:00:00-1200;8505000
5000;Luzern;08.06.2023;Fronleichnam;Thursday;ja;900;Fundservice;;08:00;19:00;;;;;SBB;5000-2023-06-08T00:00:00-900;8505000
5000;Luzern;29.05.2023;Pfingstmontag;Monday;ja;500;Gepäck;;08:00;19:00;;;;;SBB;5000-2023-05-29T00:00:00-500;8505000
5000;Luzern;29.05.2023;Pfingstmontag;Monday;ja;1200;Gruppenreisen;;07:00;20:00;;;;;SBB;5000-2023-05-29T00:00:00-1200;8505000
5000;Luzern;28.05.2023;Pfingsten;Sunday;ja;500;Gepäck;;08:00;19:00;;;;;SBB;5000-2023-05-28T00:00:00-500;8505000
5000;Luzern;28.05.2023;Pfingsten;Sunday;ja;900;Fundservice;;08:00;19:00;;;;;SBB;5000-2023-05-28T00:00:00-900;8505000
5000;Luzern;18.05.2023;Auffahrt;Thursday;ja;500;Gepäck;;08:00;19:00;;;;;SBB;5000-2023-05-18T00:00:00-500;8505000
5000;Luzern;18.05.2023;Auffahrt;Thursday;ja;1200;Gruppenreisen;;07:00;20:00;;;;;SBB;5000-2023-05-18T00:00:00-1200;8505000
5000;Luzern;10.04.2023;Ostermontag;Monday;ja;700;Gepäckaufbewahrung;;08:00;19:00;;;;;SBB;5000-2023-04-10T00:00:00-700;8505000
5000;Luzern;10.04.2023;Ostermontag;Monday;ja;1200;Gruppenreisen;;07:00;20:00;;;;;SBB;5000-2023-04-10T00:00:00-1200;8505000
5000;Luzern;09.04.2023;Ostern;Sunday;ja;700;Gepäckaufbewahrung;;08:00;19:00;;;;;SBB;5000-2023-04-09T00:00:00-700;8505000
5000;Luzern;09.04.2023;Ostern;Sunday;ja;1100;Western Union;;07:00;20:00;;;;;SBB;5000-2023-04-09T00:00:00-1100;8505000
5000;Luzern;09.04.2023;Ostern;Sunday;ja;1200;Gruppenreisen;;07:00;20:00;;;;;SBB;5000-2023-04-09T00:00:00-1200;8505000
5007;Brunnen;15.08.2023;Maria Himmelfahrt;Tuesday;ja;9999;Alle Services;ja;;;;;;;SBB;5007-2023-08-15T00:00:00-9999;8505007
5007;Brunnen;08.06.2023;Fronleichnam;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;5007-2023-06-08T00:00:00-9999;8505007
5007;Brunnen;18.05.2023;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;5007-2023-05-18T00:00:00-9999;8505007
5113;Altdorf;15.08.2023;Maria Himmelfahrt;Tuesday;ja;9999;Alle Services;ja;;;;;;;SBB;5113-2023-08-15T00:00:00-9999;8505113
5213;Bellinzona;01.11.2023;Allerheiligen;Wednesday;ja;9999;Alle Services;;08:00;17:00;;;;;FFS;5213-2023-11-01T00:00:00-9999;8505213
5213;Bellinzona;15.08.2023;Maria Himmelfahrt;Tuesday;ja;9999;Alle Services;;08:00;18:00;;;;;FFS;5213-2023-08-15T00:00:00-9999;8505213
5213;Bellinzona;08.06.2023;Fronleichnam;Thursday;ja;9999;Alle Services;;08:00;18:00;;;;;FFS;5213-2023-06-08T00:00:00-9999;8505213
5300;Lugano;08.06.2023;Fronleichnam;Thursday;ja;1000;Geldwechsel;;08:00;19:00;;;;;FFS;5300-2023-06-08T00:00:00-1000;8505300
5300;Lugano;08.06.2023;Fronleichnam;Thursday;ja;1200;Gruppenreisen;ja;;;;;;;FFS;5300-2023-06-08T00:00:00-1200;8505300
5300;Lugano;29.05.2023;Pfingstmontag;Monday;ja;500;Gepäck;;08:00;19:00;;;;;FFS;5300-2023-05-29T00:00:00-500;8505300
5300;Lugano;29.05.2023;Pfingstmontag;Monday;ja;1000;Geldwechsel;;08:00;19:00;;;;;FFS;5300-2023-05-29T00:00:00-1000;8505300
5300;Lugano;29.05.2023;Pfingstmontag;Monday;ja;1100;Western Union;;08:00;19:00;;;;;FFS;5300-2023-05-29T00:00:00-1100;8505300
5300;Lugano;29.05.2023;Pfingstmontag;Monday;ja;1200;Gruppenreisen;ja;;;;;;;FFS;5300-2023-05-29T00:00:00-1200;8505300
5300;Lugano;28.05.2023;Pfingsten;Sunday;ja;1000;Geldwechsel;;08:00;19:00;;;;;FFS;5300-2023-05-28T00:00:00-1000;8505300
5300;Lugano;10.04.2023;Ostermontag;Monday;ja;100;Billette, Abonnemente, Freizeitangebote;;08:00;19:00;;;;;FFS;5300-2023-04-10T00:00:00-100;8505300
5300;Lugano;10.04.2023;Ostermontag;Monday;ja;900;Fundservice;;08:00;19:00;;;;;FFS;5300-2023-04-10T00:00:00-900;8505300
5300;Lugano;09.04.2023;Ostern;Sunday;ja;100;Billette, Abonnemente, Freizeitangebote;;08:00;19:00;;;;;FFS;5300-2023-04-09T00:00:00-100;8505300
5307;Chiasso;01.11.2023;Allerheiligen;Wednesday;ja;9999;Alle Services;ja;;;;;;;FFS;5307-2023-11-01T00:00:00-9999;8505307
5307;Chiasso;28.05.2023;Pfingsten;Sunday;ja;9999;Alle Services;;09:00;12:00;13:30;16:30;;;FFS;5307-2023-05-28T00:00:00-9999;8505307
5307;Chiasso;09.04.2023;Ostern;Sunday;ja;9999;Alle Services;;09:00;12:00;13:30;16:30;;;FFS;5307-2023-04-09T00:00:00-9999;8505307
5400;Locarno;29.06.2023;St. Peter und Paul;Thursday;ja;9999;Alle Services;;08:00;18:00;;;;;FFS;5400-2023-06-29T00:00:00-9999;8505400
6000;Winterthur;01.08.2023;Bundesfeiertag;Tuesday;ja;9999;Alle Services;;07:00;20:00;;;;;SBB;6000-2023-08-01T00:00:00-9999;8506000
6000;Winterthur;01.05.2023;Tag der Arbeit;Monday;ja;9999;Alle Services;;07:00;20:00;;;;;SBB;6000-2023-05-01T00:00:00-9999;8506000
6000;Winterthur;10.04.2023;Ostermontag;Monday;ja;9999;Alle Services;;07:00;20:00;;;;;SBB;6000-2023-04-10T00:00:00-9999;8506000
6047;Andelfingen;01.05.2023;Tag der Arbeit;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;6047-2023-05-01T00:00:00-9999;8506047
6105;Weinfelden;01.08.2023;Bundesfeiertag;Tuesday;ja;9999;Alle Services;ja;;;;;;;SBB;6105-2023-08-01T00:00:00-9999;8506105
6105;Weinfelden;07.04.2023;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;SBB;6105-2023-04-07T00:00:00-9999;8506105
6109;Amriswil;28.05.2023;Pfingsten;Sunday;ja;9999;Alle Services;ja;;;;;;;SBB;6109-2023-05-28T00:00:00-9999;8506109
6109;Amriswil;08.04.2023;Ostersamstag;Saturday;ja;9999;Alle Services;ja;;;;;;;SBB;6109-2023-04-08T00:00:00-9999;8506109
6121;Romanshorn;10.04.2023;Ostermontag;Monday;ja;9999;Alle Services;;08:30;12:00;13:00;16:00;;;SBB;6121-2023-04-10T00:00:00-9999;8506121
6129;Konstanz;08.06.2023;Fronleichnam;Thursday;ja;9999;Alle Services;;09:00;12:10;13:40;18:00;;;SBB;6129-2023-06-08T00:00:00-9999;8506129
6129;Konstanz;28.05.2023;Pfingsten;Sunday;ja;9999;Alle Services;;09:00;12:10;13:40;18:00;;;SBB;6129-2023-05-28T00:00:00-9999;8506129
6139;Stein am Rhein;29.05.2023;Pfingstmontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;6139-2023-05-29T00:00:00-9999;8506139
6139;Stein am Rhein;18.05.2023;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;6139-2023-05-18T00:00:00-9999;8506139
6139;Stein am Rhein;07.04.2023;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;SBB;6139-2023-04-07T00:00:00-9999;8506139
6206;Wil;28.05.2023;Pfingsten;Sunday;ja;9999;Alle Services;;08:30;12:00;13:00;17:00;;;SBB;6206-2023-05-28T00:00:00-9999;8506206
6208;Uzwil;29.05.2023;Pfingstmontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;6208-2023-05-29T00:00:00-9999;8506208
6210;Gossau SG;28.05.2023;Pfingsten;Sunday;ja;9999;Alle Services;ja;;;;;;;SBB;6210-2023-05-28T00:00:00-9999;8506210
6290;Herisau;01.08.2023;Bundesfeiertag;Tuesday;ja;9999;Alle Services;ja;;;;;;;SOB;6290-2023-08-01T00:00:00-9999;8506290
6299;Nesslau-Neu St. Johann;01.11.2023;Allerheiligen;Wednesday;ja;9999;Alle Services;ja;;;;;;;SOB;6299-2023-11-01T00:00:00-9999;8506299
6299;Nesslau-Neu St. Johann;10.04.2023;Ostermontag;Monday;ja;9999;Alle Services;ja;;;;;;;SOB;6299-2023-04-10T00:00:00-9999;8506299
6299;Nesslau-Neu St. Johann;09.04.2023;Ostern;Sunday;ja;9999;Alle Services;ja;;;;;;;SOB;6299-2023-04-09T00:00:00-9999;8506299
6302;St. Gallen;09.04.2023;Ostern;Sunday;ja;9999;Alle Services;;07:30;20:00;;;;;SBB;6302-2023-04-09T00:00:00-9999;8506302
6302;St. Gallen;07.04.2023;Karfreitag;Friday;ja;9999;Alle Services;;07:30;20:00;;;;;SBB;6302-2023-04-07T00:00:00-9999;8506302
6308;Arbon;18.05.2023;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;6308-2023-05-18T00:00:00-9999;8506308
6308;Arbon;01.05.2023;Tag der Arbeit;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;6308-2023-05-01T00:00:00-9999;8506308
6311;Rorschach;18.05.2023;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;6311-2023-05-18T00:00:00-9999;8506311
6311;Rorschach;07.04.2023;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;SBB;6311-2023-04-07T00:00:00-9999;8506311
6314;St. Margrethen;10.04.2023;Ostermontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;6314-2023-04-10T00:00:00-9999;8506314
6317;Heerbrugg;29.05.2023;Pfingstmontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;6317-2023-05-29T00:00:00-9999;8506317
6393;Wittenbach;10.04.2023;Ostermontag;Monday;ja;9999;Alle Services;ja;;;;;;;SOB;6393-2023-04-10T00:00:00-9999;8506393
7000;Bern;18.05.2023;Auffahrt;Thursday;ja;500;Gepäck;;08:30;19:00;;;;;SBB;7000-2023-05-18T00:00:00-500;8507000
7000;Bern;10.04.2023;Ostermontag;Monday;ja;100;Billette, Abonnemente, Freizeitangebote;;07:00;20:00;;;;;SBB;7000-2023-04-10T00:00:00-100;8507000
7000;Bern;09.04.2023;Ostern;Sunday;ja;100;Billette, Abonnemente, Freizeitangebote;;07:00;20:00;;;;;SBB;7000-2023-04-09T00:00:00-100;8507000
7006;Münsingen BLS;07.04.2023;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;BLS;7006-2023-04-07T00:00:00-9999;8507006
7100;Thun;07.04.2023;Karfreitag;Friday;ja;9999;Alle Services;;08:00;18:00;;;;;SBB;7100-2023-04-07T00:00:00-9999;8507100
7785;Bern, Bahnhof Postautostation;01.08.2023;Bundesfeiertag;Tuesday;ja;400;Kundendienst;ja;;;;;;;POST;7785-2023-08-01T00:00:00-400;8507785
7785;Bern, Bahnhof Postautostation;01.08.2023;Bundesfeiertag;Tuesday;ja;900;Fundservice;ja;;;;;;;POST;7785-2023-08-01T00:00:00-900;8507785
7785;Bern, Bahnhof Postautostation;31.07.2023;Tag vor Bundesfeier;Monday;ja;100;Billette, Abonnemente, Freizeitangebote;;07:30;17:00;;;;;POST;7785-2023-07-31T00:00:00-100;8507785
7785;Bern, Bahnhof Postautostation;10.04.2023;Ostermontag;Monday;ja;100;Billette, Abonnemente, Freizeitangebote;ja;;;;;;;POST;7785-2023-04-10T00:00:00-100;8507785
7785;Bern, Bahnhof Postautostation;10.04.2023;Ostermontag;Monday;ja;900;Fundservice;ja;;;;;;;POST;7785-2023-04-10T00:00:00-900;8507785
7785;Bern, Bahnhof Postautostation;07.04.2023;Karfreitag;Friday;ja;400;Kundendienst;ja;;;;;;;POST;7785-2023-04-07T00:00:00-400;8507785
7785;Bern, Bahnhof Postautostation;07.04.2023;Karfreitag;Friday;ja;900;Fundservice;ja;;;;;;;POST;7785-2023-04-07T00:00:00-900;8507785
7851;Adelboden, Post;29.05.2023;Pfingstmontag;Monday;ja;600;;;08:20;12:00;13:30;17:30;;;AFA;7851-2023-05-29T00:00:00-600;8507851
7851;Adelboden, Post;18.05.2023;Auffahrt;Thursday;ja;600;;ja;;;;;;;AFA;7851-2023-05-18T00:00:00-600;8507851
8005;Burgdorf;28.05.2023;Pfingsten;Sunday;ja;9999;Alle Services;ja;;;;;;;SBB;8005-2023-05-28T00:00:00-9999;8508005
8005;Burgdorf;10.04.2023;Ostermontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;8005-2023-04-10T00:00:00-9999;8508005
8005;Burgdorf;09.04.2023;Ostern;Sunday;ja;9999;Alle Services;ja;;;;;;;SBB;8005-2023-04-09T00:00:00-9999;8508005
8092;Schönbühl Einkaufszentrum (Shoppyland);29.05.2023;Pfingstmontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;8092-2023-05-29T00:00:00-9999;8508092
8100;Langenthal;18.05.2023;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;8100-2023-05-18T00:00:00-9999;8508100
8314;Sarnen;01.11.2023;Allerheiligen;Wednesday;ja;9999;Alle Services;;08:00;11:45;12:45;17:00;;;ZB;8314-2023-11-01T00:00:00-9999;8508314
8318;Hergiswil;01.11.2023;Allerheiligen;Wednesday;ja;2123;DHL;ja;;;;;;;ZB;8318-2023-11-01T00:00:00-2123;8508318
8318;Hergiswil;15.08.2023;Maria Himmelfahrt;Tuesday;ja;700;Gepäckaufbewahrung;ja;;;;;;;ZB;8318-2023-08-15T00:00:00-700;8508318
8318;Hergiswil;15.08.2023;Maria Himmelfahrt;Tuesday;ja;1000;Geldwechsel;ja;;;;;;;ZB;8318-2023-08-15T00:00:00-1000;8508318
8318;Hergiswil;01.08.2023;Bundesfeiertag;Tuesday;ja;1000;Geldwechsel;ja;;;;;;;ZB;8318-2023-08-01T00:00:00-1000;8508318
8318;Hergiswil;01.08.2023;Bundesfeiertag;Tuesday;ja;2123;DHL;ja;;;;;;;ZB;8318-2023-08-01T00:00:00-2123;8508318
8318;Hergiswil;01.08.2023;Bundesfeiertag;Tuesday;ja;9999;Alle Services;ja;;;;;;;ZB;8318-2023-08-01T00:00:00-9999;8508318
8318;Hergiswil;08.06.2023;Fronleichnam;Thursday;ja;700;Gepäckaufbewahrung;ja;;;;;;;ZB;8318-2023-06-08T00:00:00-700;8508318
8318;Hergiswil;08.06.2023;Fronleichnam;Thursday;ja;1000;Geldwechsel;ja;;;;;;;ZB;8318-2023-06-08T00:00:00-1000;8508318
8318;Hergiswil;29.05.2023;Pfingstmontag;Monday;ja;100;Billette, Abonnemente, Freizeitangebote;ja;;;;;;;ZB;8318-2023-05-29T00:00:00-100;8508318
8318;Hergiswil;10.04.2023;Ostermontag;Monday;ja;1000;Geldwechsel;ja;;;;;;;ZB;8318-2023-04-10T00:00:00-1000;8508318
8318;Hergiswil;07.04.2023;Karfreitag;Friday;ja;1100;Western Union;ja;;;;;;;ZB;8318-2023-04-07T00:00:00-1100;8508318
8318;Hergiswil;07.04.2023;Karfreitag;Friday;ja;9999;Alle Services;ja;;;;;;;ZB;8318-2023-04-07T00:00:00-9999;8508318
8339;Lyss BLS;01.08.2023;Bundesfeiertag;Tuesday;ja;9999;Alle Services;;07:45;12:15;13:15;16:45;;;BLS;8339-2023-08-01T00:00:00-9999;8508339
