Date Created,Tweets
2023-04-28 03:51:32+00:00,"Unterbruch Gümligen - Münsingen: 28.04.2023 05:48 - 08:48

Der Bahnverkehr auf der Strecke Bern - Thun ist zwischen Gümligen und Münsingen unterbrochen.
Die Einschränkung dauert bis 28.04.2023, ca. 09:00.
Es ist mit Verspätungen und Ausfällen zu rechnen.… https://t.co/W843kTRSsv"
2023-04-27 18:22:03+00:00,"Aufgehoben: Einschränkung Bern Europaplatz - Bern Weissenbühl: 27.04.2023 19:21 - 20:17

Die Einschränkung des Bahnverkehrs auf der Strecke Bern - Belp zwischen Bern Europaplatz und Bern Weissenbühl ist aufgehoben.
Es ist noch mit Verspätungen zu rechnen. https://t.co/f0gdaWfLnd"
2023-04-27 17:51:33+00:00,"Einschränkung Bern Europaplatz - Bern Weissenbühl: 27.04.2023 19:21 - 22:21

Der Bahnverkehr auf der Strecke Bern - Belp ist zwischen Bern Europaplatz und Bern Weissenbühl eingeschränkt.
Grund dafür ist ein Zug, der die Strecke blockiert.
Betroffen sind… https://t.co/QtIk8EFS1t"
2023-04-27 13:46:07+00:00,"Aufgehoben: Einschränkung Colmar - Strasbourg: 27.04.2023 14:29 - 15:36

Die Einschränkung des Bahnverkehrs auf der Strecke Basel SBB - Strasbourg zwischen Colmar und Strasbourg ist aufgehoben.
Die Züge verkehren wieder nach Fahrplan. https://t.co/raYEg18m69"
2023-04-27 12:42:03+00:00,"Aufgehoben: Einschränkung Bern: 27.04.2023 11:46 - 14:32

Die Einschränkung des Bahnverkehrs im Bahnhof Bern ist aufgehoben.
Es ist noch mit Verspätungen und vereinzelten Ausfällen zu rechnen. https://t.co/42XsFDwdM8"
2023-04-27 12:42:02+00:00,"Einschränkung Colmar - Strasbourg: 27.04.2023 14:29 - 17:29

Der Bahnverkehr auf der Strecke Basel SBB - Strasbourg ist zwischen Colmar und Strasbourg eingeschränkt.
Grund dafür ist eine technische Störung an der Bahnanlage.
Die Dauer der Einschränkung… https://t.co/wIZAyPk2HN"
2023-04-27 12:27:33+00:00,"Einschränkung Bern: 27.04.2023 11:46 - 21:00

Der Bahnverkehr im Bahnhof Bern ist eingeschränkt.
Grund dafür ist eine Fahrleitungsstörung.
Die Einschränkung dauert bis 27.04.2023, ca. 21:00.
Betroffen sind die Linien RE, S31.
Es ist mit Verspätungen und… https://t.co/uNXe2My5Ve"
2023-04-27 11:52:02+00:00,"Einschränkung Bern: 27.04.2023 11:46 - 14:46

Der Bahnverkehr im Bahnhof Bern ist eingeschränkt.
Grund dafür ist eine Fahrleitungsstörung.
Die Einschränkung dauert bis 27.04.2023, ca. 21:00.
Betroffen sind die Linien RE, S31.
Es ist mit Verspätungen und… https://t.co/rc2AP1bghI"
2023-04-27 10:26:05+00:00,"Einschränkung Bern: 27.04.2023 11:46 - 14:46

Der Bahnverkehr im Bahnhof Bern ist eingeschränkt.
Grund dafür ist eine Fahrleitungsstörung.
Die Einschränkung dauert bis 27.04.2023, ca. 15:00.
Betroffen sind die Linien RE, S31.
Es ist mit Verspätungen und… https://t.co/4onfuoebeE"
2023-04-27 10:20:03+00:00,"Einschränkung Bern: 27.04.2023 11:46 - 14:46

Der Bahnverkehr im Bahnhof Bern ist eingeschränkt.
Grund dafür ist eine Fahrleitungsstörung.
Es ist mit Verspätungen und Ausfällen zu rechnen. https://t.co/VPG5lzNTSL"
