Date Created,Tweets,Einschr_type,haltestellen,linien,von,bis
2023-05-07 22:24:02+00:00,"aufgehoben: unterbruch niederscherli - schwarzenburg: 07.05.2023 22:21 - 08.05.2023 00:21

der unterbruch des bahnverkehrs auf der strecke bern - schwarzenburg zwischen niederscherli und schwarzenburg ist aufgehoben.
die züge verkehren wieder nach… ",Aufgehoben:,bern,EC,2023-05-07 22:21:00,2023-05-08 00:21:00
2023-05-07 19:40:33+00:00,"aufgehoben: einschränkung luzern - ebikon: 07.05.2023 20:42 - 21:38

die einschränkung des bahnverkehrs auf der strecke luzern - rotkreuz zwischen luzern und ebikon ist aufgehoben.
es ist noch mit verspätungen und vereinzelten ausfällen zu rechnen. ",Aufgehoben:,luzern,EC,2023-05-07 20:42:00,2023-05-07 21:38:00
2023-05-07 08:12:02+00:00,"aufgehoben: einschränkung rubigen - münsingen: 07.05.2023 09:45 - 10:10

die einschränkung des bahnverkehrs auf der strecke bern - thun zwischen rubigen und münsingen ist aufgehoben.
es ist noch mit verspätungen zu rechnen. ",Aufgehoben:,bern,EC,2023-05-07 09:45:00,2023-05-07 10:10:00
2023-05-07 04:32:02+00:00,"aufgehoben: unterbruch luzern verkehrshaus - meggen: 06.05.2023 22:12 - 07.05.2023 06:24

der unterbruch des bahnverkehrs auf der strecke luzern - arth-goldau zwischen luzern verkehrshaus und meggen ist aufgehoben.
die züge verkehren wieder nach fahrplan. ",Aufgehoben:,luzern,EC,2023-05-06 22:12:00,2023-05-07 06:24:00
2023-05-06 16:44:02+00:00,"aufgehoben: einschränkung interlaken ost - kaiserstuhl ow: 06.05.2023 18:26 - 18:35

die einschränkung des bahnverkehrs auf der strecke interlaken ost - luzern zwischen interlaken ost und kaiserstuhl ow ist aufgehoben.
es ist noch mit verspätungen zu… ",Aufgehoben:,luzern,EC,2023-05-06 18:26:00,2023-05-06 18:35:00
2023-05-04 21:03:33+00:00,"aufgehoben: einschränkung rupperswil - lenzburg: 04.05.2023 21:11 - 23:01

die einschränkung des bahnverkehrs auf der strecke olten - lenzburg zwischen rupperswil und lenzburg ist aufgehoben.
es ist noch mit verspätungen zu rechnen. ",Aufgehoben:,olten,EC,2023-05-04 21:11:00,2023-05-04 23:01:00
2023-05-04 13:52:33+00:00,"einschränkung bern wankdorf - zollikofen: 04.05.2023 15:26 - 18:26

der bahnverkehr zwischen bern wankdorf und zollikofen ist eingeschränkt.
der grund dafür ist eine technische störung an der bahnanlage.
die einschränkung dauert bis ca. 16:30.
betroffen… ",Einschränkung,bern,EC,2023-05-04 15:26:00,2023-05-04 18:26:00
2023-05-03 18:42:32+00:00,"aufgehoben: einschränkung lenzburg - zürich hb: 03.05.2023 19:00 - 20:45

die einschränkung des bahnverkehrs auf der strecke olten - zürich hb zwischen lenzburg und zürich hb ist aufgehoben.
es ist noch mit verspätungen und vereinzelten ausfällen zu… ",Aufgehoben:,zürich hb,EC,2023-05-03 19:00:00,2023-05-03 20:45:00
2023-05-03 18:42:32+00:00,"aufgehoben: einschränkung lenzburg - zürich hb: 03.05.2023 19:00 - 20:45

die einschränkung des bahnverkehrs auf der strecke olten - zürich hb zwischen lenzburg und zürich hb ist aufgehoben.
es ist noch mit verspätungen und vereinzelten ausfällen zu… ",Aufgehoben:,olten,EC,2023-05-03 19:00:00,2023-05-03 20:45:00
2023-05-03 15:48:32+00:00,"aufgehoben: einschränkung st. gallen - st. gallen spisertor: 03.05.2023 17:26 - 17:45

die einschränkung des bahnverkehrs auf der strecke st. gallen - trogen zwischen st. gallen und st. gallen spisertor ist aufgehoben.
es ist noch mit verspätungen zu… ",Aufgehoben:,st. gallen,EC,2023-05-03 17:26:00,2023-05-03 17:45:00
