R2,RMSE,MAPE,modelname,station,entries
0.08098822766329361,3.9769723922175504,31261008823521.12,RandomForestRegressor,Olten,94400
0.12717775339145276,3.875742741718383,33018513685887.117,XGBRegressor,Olten,94400
0.1386684127216654,3.850146242994556,31903498075180.87,VotingRegressor,Olten,94400
0.2113540296435198,3.764110303727853,32001456123585.758,RandomForestRegressor,Bern,69312
0.2445070341490796,3.684143261302537,34288762831593.33,XGBRegressor,Bern,69312
0.27456235307545995,3.610117539956712,32697287550723.125,VotingRegressor,Bern,69312
0.5325878125109316,5.128259898328423,38991852124464.59,RandomForestRegressor,St. Gallen,27545
0.4945659530583856,5.332762686802003,38974518217307.99,XGBRegressor,St. Gallen,27545
0.5294232690523049,5.145590667636927,38768293110654.664,VotingRegressor,St. Gallen,27545
0.24447084636055427,3.8658746734774305,37229675642630.586,RandomForestRegressor,Basel SBB,82720
0.24413568482328318,3.8667320519306707,26092021993492.895,XGBRegressor,Basel SBB,82720
0.27853749078799395,3.7777136992661426,30762675404441.883,VotingRegressor,Basel SBB,82720
0.1000102485613904,8.206892194045333,18583704519772.906,RandomForestRegressor,Lugano,16587
0.16377684891013122,7.910811570031491,25945502424146.168,XGBRegressor,Lugano,16587
0.15668035309421646,7.944307676744018,20552169620476.03,VotingRegressor,Lugano,16587
0.08607041044292174,3.6241147860133425,33522907251345.75,RandomForestRegressor,Luzern,35144
0.12966249497280524,3.536628356594582,26011175910315.99,XGBRegressor,Luzern,35144
0.14252009507148955,3.5104076388822705,29335228456420.516,VotingRegressor,Luzern,35144
0.07180496624086785,3.0882256371488044,26870138262607.58,RandomForestRegressor,Zürich HB,97519
0.11280918717102051,3.019241982447013,25919679116097.33,XGBRegressor,Zürich HB,97519
0.13950190660214634,2.973475469130353,25848056092931.445,VotingRegressor,Zürich HB,97519
