R2,RMSE,MAPE,modelname,station,entries
0.09396877237029333,3.948786216576402,32767916506812.83,RandomForestRegressor,Olten,94400
0.12405082636559472,3.882679050801222,32943122429659.6,XGBRegressor,Olten,94400
0.14227040694357873,3.8420873641904496,32541145230722.09,VotingRegressor,Olten,94400
0.19644703701531419,3.7995183880267387,32832393307133.926,RandomForestRegressor,Bern,69312
0.23194188351613898,3.7146537512181115,30977367566886.562,XGBRegressor,Bern,69312
0.2605571060496277,3.6447992841081533,31526505542950.473,VotingRegressor,Bern,69312
0.5133070495184995,5.232961490148175,38014230309026.96,RandomForestRegressor,St. Gallen,27545
0.4884679866619166,5.364835626086269,42891081060547.09,XGBRegressor,St. Gallen,27545
0.5167836043030325,5.214237896125731,40132594162229.51,VotingRegressor,St. Gallen,27545
0.24429777100954175,3.8663174421640396,37728743666109.29,RandomForestRegressor,Basel SBB,82720
0.2242177834054664,3.917347215296699,25748505944324.16,XGBRegressor,Basel SBB,82720
0.26797604259916197,3.8052641052025282,31215985610266.42,VotingRegressor,Basel SBB,82720
0.11463308006868789,8.139947282659252,17846070093223.65,RandomForestRegressor,Lugano,16587
0.15173916909281127,7.96754735474336,34058779974354.996,XGBRegressor,Lugano,16587
0.15599462674471842,7.947536887737674,23443661671464.17,VotingRegressor,Lugano,16587
0.09386014708183099,3.6086369454815093,30141223242669.098,RandomForestRegressor,Luzern,35144
0.14926765675733122,3.4965685540222915,28648034692646.94,XGBRegressor,Luzern,35144
0.15587168142560381,3.4829706150177344,28646214838993.324,VotingRegressor,Luzern,35144
0.05162793019076728,3.121610992462925,25029700790398.777,RandomForestRegressor,Zürich HB,97519
0.1237399467650806,3.000584838914955,24699989179653.31,XGBRegressor,Zürich HB,97519
0.13597367593431198,2.979565183594328,24371722677775.98,VotingRegressor,Zürich HB,97519
